title,description,provider,skill_tags,difficulty,duration_hrs,prerequisites,resource_url
GraphQL API Design,"Design flexible APIs with GraphQL schemas, queries and mutations.",Udemy,graphql;api-design;javascript,advanced,14,rest-api;javascript,https://www.udemy.com/courses/search/?q=GraphQL+API+Design
Full-Stack Web Development with MERN,"Build a complete app using MongoDB, Express, React and Node.js.",Udemy,fullstack;react;nodejs;mongodb,advanced,32,react;nodejs;mongodb,https://www.udemy.com/courses/search/?q=Full-Stack+Web+Development+with+MERN
Testing JavaScript Applications,Write unit and integration tests for JS apps using Jest.,Udemy,testing;javascript;jest,advanced,12,javascript,https://www.udemy.com/courses/search/?q=Testing+JavaScript+Applications
Web Performance Optimization,Improve load times and rendering performance of modern web apps.,Google,performance;web-development;javascript,advanced,10,web-development,https://web.dev/learn/performance
Deploying Full-Stack Applications,Ship full-stack JavaScript apps to production with CI/CD pipelines.,Udemy,deployment;fullstack;devops,advanced,14,fullstack,https://www.udemy.com/courses/search/?q=Deploying+Full-Stack+Applications
Linux Command Line Basics,"Navigate the filesystem, manage files and run commands in Linux.",edX,linux;command-line;devops,beginner,10,,https://www.edx.org/search?q=Linux+Command+Line+Basics
Introduction to Git and GitHub,Track code changes and collaborate using Git and GitHub workflows.,Udemy,git;version-control;collaboration,beginner,8,,https://www.udemy.com/courses/search/?q=Introduction+to+Git+and+GitHub
Shell Scripting for Automation,Automate repetitive tasks by writing Bash shell scripts on Linux.,Udemy,linux;bash;scripting,intermediate,12,linux,https://www.udemy.com/courses/search/?q=Shell+Scripting+for+Automation
Docker Fundamentals,Package applications into portable containers using Docker.,Docker,docker;containers;devops,intermediate,14,linux,https://docs.docker.com/get-started/
Docker Compose for Multi-Container Apps,Define and run multi-service applications using Docker Compose.,Udemy,docker;containers;orchestration,intermediate,10,docker,https://docs.docker.com/compose/gettingstarted/
Kubernetes for Beginners,Deploy and manage containerized apps at scale with Kubernetes.,Udemy,kubernetes;containers;orchestration,advanced,24,docker,https://kubernetes.io/docs/tutorials/kubernetes-basics/
Advanced Kubernetes Operations,"Manage scaling, networking and security for production Kubernetes clusters.",Linux Foundation,kubernetes;devops;orchestration,advanced,26,kubernetes,https://kubernetes.io/docs/concepts/
AWS Cloud Practitioner Fundamentals,"Learn core AWS services, pricing and the shared responsibility model.",AWS,aws;cloud;fundamentals,beginner,12,,https://aws.amazon.com/training/learn-about/cloud-practitioner/
AWS Compute and Storage Services,Provision EC2 instances and S3 storage for scalable cloud workloads.,AWS,aws;ec2;cloud,intermediate,16,aws,https://aws.amazon.com/training/
AWS Solutions Architect Associate Prep,"Design resilient, cost-effective architectures on AWS for certification.",Udemy,aws;cloud-architecture;cloud,advanced,30,aws;ec2,https://aws.amazon.com/certification/certified-solutions-architect-associate/
CI/CD Pipelines with GitHub Actions,"Automate build, test and deploy workflows using GitHub Actions.",Udemy,ci-cd;github-actions;devops,intermediate,12,git,https://www.udemy.com/courses/search/?q=CI%2FCD+Pipelines+with+GitHub+Actions
CI/CD with Jenkins,Set up automated build and deployment pipelines using Jenkins.,Udemy,ci-cd;jenkins;devops,intermediate,14,git,https://www.udemy.com/courses/search/?q=CI%2FCD+with+Jenkins
Infrastructure as Code with Terraform,Provision and manage cloud infrastructure declaratively with Terraform.,HashiCorp,terraform;iac;devops,advanced,18,aws;cloud,https://developer.hashicorp.com/terraform/tutorials
Configuration Management with Ansible,Automate server configuration and provisioning using Ansible playbooks.,Udemy,ansible;devops;automation,advanced,16,linux,https://www.udemy.com/courses/search/?q=Configuration+Management+with+Ansible
Cloud Security Fundamentals,"Learn identity, encryption and network security best practices for the cloud.",Coursera,cloud-security;security;cloud,advanced,18,cloud,https://www.coursera.org/search?query=Cloud+Security+Fundamentals
Monitoring and Logging with Prometheus and Grafana,"Set up metrics, dashboards and alerting for containerized systems.",Udemy,monitoring;devops;observability,advanced,14,docker,https://www.udemy.com/courses/search/?q=Monitoring+and+Logging+with+Prometheus+and+Grafana
Site Reliability Engineering Basics,"Apply SRE principles like SLOs, error budgets and incident response.",Google,sre;devops;monitoring,advanced,16,devops,https://sre.google/books/
Azure Fundamentals,Learn core Microsoft Azure services and cloud concepts from scratch.,Microsoft,azure;cloud;fundamentals,beginner,12,,https://learn.microsoft.com/training/paths/azure-fundamentals/
Google Cloud Platform Essentials,"Get started with compute, storage and networking services on GCP.",Google,gcp;cloud;fundamentals,beginner,12,,https://cloud.google.com/training
Multi-Cloud DevOps Strategy,"Design DevOps workflows that span AWS, Azure and GCP environments.",Udemy,devops;cloud;multi-cloud,advanced,20,aws;azure,https://www.udemy.com/courses/search/?q=Multi-Cloud+DevOps+Strategy
SQL for Data Analytics,"Write SQL queries to filter, join and aggregate business data.",Coursera,sql;analytics;data-analysis,beginner,12,,https://www.coursera.org/search?query=SQL+for+Data+Analytics
Advanced SQL Queries and Optimization,"Master window functions, CTEs and query performance tuning in SQL.",Udemy,sql;query-optimization;analytics,intermediate,14,sql,https://www.udemy.com/courses/search/?q=Advanced+SQL+Queries+and+Optimization
Excel Fundamentals for Business,Learn essential spreadsheet formulas and functions for business tasks.,Coursera,excel;spreadsheets;business,beginner,8,,https://www.coursera.org/search?query=Excel+Fundamentals+for+Business
"Advanced Excel: Formulas, Pivot Tables and Macros","Automate reporting with pivot tables, macros and advanced formulas.",Udemy,excel;pivot-tables;automation,intermediate,14,excel,https://www.udemy.com/courses/search/?q=Advanced+Excel%3A+Formulas%2C+Pivot+Tables+and+Macros
Google Sheets for Business Analysis,Analyze business data using formulas and charts in Google Sheets.,Google,sheets;spreadsheets;business,beginner,8,,https://cloud.google.com/training
Data Visualization with Tableau,Build interactive dashboards and visual reports using Tableau.,Tableau,tableau;data-visualization;analytics,intermediate,16,sql,https://www.tableau.com/learn/training
Power BI for Business Intelligence,Create BI reports and dashboards connecting to data with Power BI.,Microsoft,power-bi;business-intelligence;analytics,intermediate,16,sql,https://learn.microsoft.com/power-bi/
Business Intelligence Fundamentals,"Understand BI concepts, data warehousing and reporting fundamentals.",edX,business-intelligence;analytics;data-driven-decisions,beginner,10,,https://www.edx.org/search?q=Business+Intelligence+Fundamentals
Introduction to Product Management,"Learn the product lifecycle, discovery and strategy fundamentals.",Coursera,product-management;business;strategy,beginner,12,,https://www.coursera.org/search?query=Introduction+to+Product+Management
Product Discovery and User Research,Conduct user interviews and validate ideas before building features.,Udemy,product-management;user-research;strategy,intermediate,12,product-management,https://www.udemy.com/courses/search/?q=Product+Discovery+and+User+Research
Agile and Scrum Fundamentals,"Understand agile principles, sprints and the Scrum framework.",Coursera,agile;scrum;project-management,beginner,10,,https://www.coursera.org/search?query=Agile+and+Scrum+Fundamentals
Scrum Master Certification Prep,Prepare for Scrum Master certification by facilitating agile ceremonies.,Udemy,scrum;agile;leadership,intermediate,14,agile;scrum,https://www.udemy.com/courses/search/?q=Scrum+Master+Certification+Prep
Product Roadmapping and Prioritization,Prioritize features and build roadmaps aligned to business goals.,Udemy,product-management;roadmapping;strategy,intermediate,12,product-management,https://www.udemy.com/courses/search/?q=Product+Roadmapping+and+Prioritization
Data-Driven Decision Making for Managers,Use business intelligence data to guide management decisions.,Coursera,business-intelligence;data-analysis;decision-making,intermediate,14,business-intelligence,https://www.coursera.org/search?query=Data-Driven+Decision+Making+for+Managers
KPI Design and Dashboard Reporting,Design meaningful KPIs and build dashboards to track them.,Udemy,kpi;dashboards;business-intelligence,advanced,16,business-intelligence;power-bi,https://www.udemy.com/courses/search/?q=KPI+Design+and+Dashboard+Reporting
A/B Testing and Experimentation for Product Teams,Design and analyze experiments to validate product decisions.,Udacity,ab-testing;product-management;analytics,advanced,16,product-management;analytics,https://www.udacity.com/courses/all
Product Analytics with SQL and Mixpanel,Analyze user behavior and funnels using SQL and product analytics tools.,Udemy,product-analytics;sql;analytics,advanced,16,sql;product-management,https://www.udemy.com/courses/search/?q=Product+Analytics+with+SQL+and+Mixpanel
Stakeholder Communication for Product Managers,Communicate product decisions effectively to diverse stakeholders.,Coursera,communication;product-management;leadership,advanced,10,product-management,https://www.coursera.org/search?query=Stakeholder+Communication+for+Product+Managers
Business Strategy and Market Analysis,Analyze markets and competitors to shape effective business strategy.,edX,business-strategy;market-analysis;strategy,advanced,18,business,https://www.edx.org/search?q=Business+Strategy+and+Market+Analysis
Capstone: Building a Product Strategy from Data,Apply BI and product management skills to craft a data-backed strategy.,Coursera,product-management;business-intelligence;strategy,advanced,20,product-management;business-intelligence,https://www.coursera.org/search?query=Capstone%3A+Building+a+Product+Strategy+from+Data
